Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
Req,noun,Req,rehth,reθ,middle-age adult,,
Rer,noun,RP,rair,rār,kestrel,,
ReT,noun,ReT,rehts,reṣ,south,,
Rex,noun,Rex,rehsh,reš,handkerchief,,
ReX,noun,ReX,rehzh,rež,zipper,,
Rey,noun,RF,ray,rā,holiness,,
Reyf,noun,RFf,rayf,rāf,freshness,,
Reyn,noun,RFn,rayn,rān,panther,,
Rez,noun,Rez,rehz,rez,ceramic,,
Rgl,verb,RG,rohl,rōl,hug,,
Rglk,verb,RGk,rohlk,rōlk,"distort, stretch",,
Rglm,noun,RGm,rohlm,rōlm,snap (clothing),,
Rgls,noun,RGs,rohls,rōls,"button, pin",clothing,home
Rglz,noun,RGz,rohlz,rōlz,energy (kinetic),,
Rgr,verb,Rb,roar,rōr,"endure, withstand",,
Rgrf,noun,Rbf,roarf,rōrf,camel,zoology,science
Rgrm,noun,Rbm,roarm,rōrm,spider,,
RgrN,noun,RbN,roarng,rōrŋ,crop (farm),,
Rgrn,noun,Rbn,roarn,rōrn,hymen,,
Rgrp,noun,Rbp,roarp,rōrp,grave,,
Rgrq,noun,Rbq,roarth,rōrθ,stooping,,
Rgw,noun,Rg,rohw,rō,minute,,
Rgws,noun,Rgs,rohws,rōs,coal (substance),,
Rgy,verb,RB,roi,roi,track,,
Rgyf,noun,RBf,roif,roif,finch,,
Rgyj,noun,RBj,roich,roič,pine,,
Rgyk,noun,RBk,roik,roik,nostril,,
Rgyq,noun,RBq,roith,roiθ,orgy,,
Rgyz,verb,RBz,roiz,roiz,dance (motion-type),,
Ri,preposition,Ri,rih,ri,near-to,preposition,grammar
Rij,preposition,Rij,rihch,rič,far-apart,preposition,grammar
RiJ,verb,RiJ,rihj,rij,"groom, skritch",,
RiJy,compound preposition,RiJy,rih-jee,ri-jē,at (located at),,
RilH,verb,RIH,rilkhh,rilħ,"bet, gamble, risk",,
Rilj,noun,RIj,rilch,rilč,university,,
Rilp,noun,RIp,rilp,rilp,emotion,,
Rils,noun,RIs,rils,rils,west,,
Rilx,noun,RIx,rilsh,rilš,skate (roller),,
Rilz,verb,RIz,rilz,rilz,deceive,,
Rir,verb,RV,reer,rēr,"attack, fight",,
RirN,noun,RVN,reerng,rērŋ,ichthyosaur,,
Rirn,noun,RVn,reern,rērn,ultraviolet rays,,
Rirq,noun,RVq,reerth,rērθ,cantering,,
RirT,noun,RVT,reerts,rērṣ,"protection, refuge, shelter",buildings,
RoH,noun,RoH,rokhh,roħ,axe,,
RolD,noun,ROD,ralldz,rolẓ,plankton,,
Roln,noun,ROn,ralln,roln,pliers,,
RoN,noun,RoN,rong,roŋ,"privilege, right",,
Ron,noun,Ron,ron,ron,tunic,,
Rop,noun,Rop,rop,rop,ally,,
Roq,verb,Roq,roth,roθ,follow,,
Rorf,noun,RSf,rarf,rarf,wheat,,
Rork,noun,RSk,rark,rark,pulp,,
Rorn,verb,RSn,rarn,rarn,"attend-to, maintain",,
Rorx,noun,RSx,rarsh,rarš,flexibility,,
RoT,noun,RoT,rots,roṣ,salamander,,
Rox,noun,Rox,rosh,roš,"newsletter, newspaper",,
Roy,verb,RZ,rii,rī,"spill, urinate (substance)",bathroom,home
Royf,noun,RZf,riif,rīf,leopard,,
Roym,noun,RZm,riim,rīm,shoulder,,
Royv,verb,RZv,riiv,rīv,overwrite,,
Rr,noun,Rr,rur,rur,threat,,
Rrf,noun,Rrf,rurf,rurf,cactus,biology,science
RrH,verb,RrH,rurkhh,rurħ,threaten,,
Rrj,noun,Rrj,rurch,rurč,coin,,
RrJ,noun,RrJ,rurj,rurj,tradition,,
Rrk,verb,Rrk,rurk,rurk,"damage, harm",,
Rrn,noun,Rrn,rurn,rurn,salt (table),,
Rrn su nuXen,compound noun,Rrn su nuXen,rurn s'n'zhehn,rurn sᵘnᵘžen,baking soda,chemistry,science
RrX,noun,RrX,rurzh,rurž,"hockey, puck",,
Rrz,noun,Rrz,rurz,rurz,cow,,
Ru,noun prefix,Ru,ruh,ru,this,noun prefix,grammar
Ruf,noun,Ruf,ruhf,ruf,holiday,,
RuH,noun,RuH,ruhkhh,ruħ,no,,
Ruj,noun,Ruj,ruhch,ruč,opinion,,
Ruk,noun,Ruk,ruhk,ruk,platypus,,
Rul,verb suffix,RU,rul,rul,attempting,verb suffix,grammar
Rulx,noun,RUx,rulsh,rulš,basketball,sports,social
Rum,noun,Rum,ruhm,rum,leprechaun,,
Rup,noun,Rup,ruhp,rup,entertainment,,
RuT,noun,RuT,ruhts,ruṣ,rumbling-sound,,
Rw,numerical term,Rw,rooh,rü,one,numerical,mathematics
Rwf,verb,Rwf,roohf,rüf,"choose, decide, select",,
Rwj,verb,Rwj,roohch,rüč,"swear, vow",,
Rwm,noun,Rwm,roohm,rüm,safety,social,social
Rwn,noun,Rwn,roohn,rün,weed,,
Rwp,noun,Rwp,roohp,rüp,"serpent, snake",,
Ry,noun prefix,Ry,ree,rē,these,noun prefix,grammar
Ryj,noun,Ryj,reech,rēč,screeching-sound,,
Ryk,noun,Ryk,reek,rēk,creaking-sound,,
RyX,noun,RyX,reezh,rēž,sling,,
sa,noun,sa,sa,sa,sugar,,
saf,noun,saf,saf,saf,ceremony,,
saj,noun,saj,sach,sač,element,,
sak,verb,sak,sak,sak,regress,,
salf,noun,sAf,salf,salf,matter,,
salj,noun,sAj,salch,salč,"halter-top, tank-top",,
salk,noun,sAk,salk,salk,guardian,,
salm,verb,sAm,salm,salm,explore,,
saln,noun,sAn,saln,saln,vole,,
sals,noun,sAs,sals,sals,goat,,
salx,noun,sAx,salsh,salš,"emergency, urgency",,
sam,noun,sam,sam,sam,"manifest-ness, obviousness",,
saN,noun,saN,sang,saŋ,ringing-sound,,
saw,noun,sC,sauw,sow,white,,
saw su feJ,compound noun,sC su feJ,sauw s'fehj,sow sᵘfej,gray,,
saw su feJTy,compound noun,sC su feJTy,sauw s'fehj-tsee,sow sᵘfej-ṣē,"coal, dark gray (color)",,
sawk,verb,sCk,sauwk,sowk,generate,,
sawTy su feJ,compound noun,sCTy su feJ,sauw-tsee s'fehj,sow-ṣē sᵘfej,"light gray, mist (color)",,
sawx,verb,sCx,sauwsh,sowš,"ask, request",,
sawX,noun,sCX,sauwzh,sowž,thumb (opposable),,
sawz,noun,sCz,sauwz,sowz,rain,,
seJ,noun,seJ,sehj,sej,tunnel,,
sek,noun,sek,sehk,sek,honesty,,
selJ,noun,sEJ,selj,selj,"information, knowledge",emotion,emotion
selj,noun,sEj,selch,selč,soil,,
selk,noun,sEk,selk,selk,"handle, holder",,
seln,verb,sEn,seln,seln,progress,,
sels,noun,sEs,sels,sels,"blanket, sheet",,
selT,noun,sET,selts,selṣ,"miniature, model",,
selz,noun,sEz,selz,selz,nurse,,
sen,verb,sen,sehn,sen,time,,
sep,noun,sep,sehp,sep,deodorant,bathroom,home
ser,noun,sP,sair,sār,"product-of, result-of",,
serf,verb,sPf,sairf,sārf,form,,
serj,noun,sPj,sairch,sārč,"instrument (string, bow)",,
serT,noun,sPT,sairts,sārṣ,"coil, spring",,
sev,noun,sev,sehv,sev,corner,,
seyH,noun,sFH,saykhh,sāħ,nobility,,
seyk,noun,sFk,sayk,sāk,originality,,
seyp,verb,sFp,sayp,sāp,escape,,
seyz,noun,sFz,sayz,sāz,grape (fruit),,
sglJ,noun,sGJ,sohlj,sōlj,fallacy,,
sglq,noun,sGq,sohlth,sōlθ,"shingle, tile",,
sglv,noun,sGv,sohlv,sōlv,"usefulness, utility",,
sgrq,noun,sbq,soarth,sōrθ,skate (ice),,
sgwD,noun,sgD,sohwdz,sōẓ,peephole,,
sgyf,verb,sBf,soif,soif,translate,,
sij,noun,sij,sihch,sič,"fuel, gas (fuel)",physics,science
siJ,noun,siJ,sihj,sij,reptile,,
sil,noun,sI,sil,sil,"flicker, twinkle",,
silf,noun,sIf,silf,silf,chaparral,geography,
silH,verb,sIH,silkhh,silħ,collapse,,
silm,verb,sIm,silm,silm,"revere, worship",,
siln,noun,sIn,siln,siln,semen,,
sils,noun,sIs,sils,sils,lemur,,
silv,noun,sIv,silv,silv,orientation (physical),,
silx,noun,sIx,silsh,silš,liquid-sound (sloshing),,
sim,verb,sim,sihm,sim,trust,,
sin,noun,sin,sihn,sin,"needle, spine",,
sirk,noun,sVk,seerk,sērk,weasel,,
sirq,noun,sVq,seerth,sērθ,duodenum,,
sirX,noun,sVX,seerzh,sērž,grandparent,,
sirx,noun,sVx,seersh,sērš,trunk (storage),,
sis,noun,sis,sihs,sis,hissing-sound,,
siT,verb,siT,sihts,siṣ,"load, prepare, set-up",,
sok,noun,sok,sok,sok,"appearance, veneer",,
sol,noun,sO,sall,sol,bee,zoology,science
solj,noun,sOj,sallch,solč,heart,,
solT,noun,sOT,sallts,solṣ,roughness (texture),,
son,verb,son,son,son,whisper,,
soN,noun,soN,song,soŋ,yeast,,
sorj,verb,sSj,sarch,sarč,chant,,
sorm,noun,sSm,sarm,sarm,mouthwash,bathroom,home
sors,noun,sSs,sars,sars,headache,,
soy,noun,sZ,sii,sī,"hoop, ring",,
soyn,noun,sZn,siin,sīn,loop,,
sr,noun suffix,sr,sur,sur,operator,noun suffix,grammar
srf,noun,srf,surf,surf,alertness,,
srz,noun,srz,surz,surz,vacuum cleaner,,
su,preposition,su,suh,su,containing,preposition,grammar
suf,noun,suf,suhf,suf,foresight,,
suH,noun,suH,suhkhh,suħ,"deficit, weakness",,
suj,preposition,suj,suhch,suč,member-of,preposition,grammar
suk,noun,suk,suhk,suk,matte,,
sulk,verb,sUk,sulk,sulk,"rend, rip, tear",,
suln,noun,sUn,suln,suln,rope,,
sulx,noun,sUx,sulsh,sulš,liquid,,
sup,noun,sup,suhp,sup,custom,,
suQ,noun,suQ,suhdth,suð,beach,geography,
suq,noun,suq,suhth,suθ,credit,,
suv,verb,suv,suhv,suv,"ambush, assassinate",,
sw,verb,sw,sooh,sü,feel-emotion,,
swf,noun,swf,soohf,süf,school,,
swn,noun,swn,soohn,sün,baseball,sports,social
swQ,noun,swQ,soohdth,süð,phantom,,
sy,unary suffix,sy,see,sē,slight,unary suffix,grammar
syk,noun,syk,seek,sēk,plaque (dental),,
syz,noun,syz,seez,sēz,barley,food,
Ta,noun,Ta,tsa,ṣa,"boat, ship, vessel, mother (cq.)",,
TaD,noun,TaD,tsadz,ṣaẓ,evil,,
Taf,verb,Taf,tsaf,ṣaf,seduce,,
Tak,noun,Tak,tsak,ṣak,claw (sharp),,
Tal,noun,TA,tsal,ṣal,fear,,
Tal su jelv,compound noun,TA su jEv,tsal s'chelv,ṣal sᵘčelv,anxiety,,
Talj,noun,TAj,tsalch,ṣalč,trapezoid,,
Talk,noun,TAk,tsalk,ṣalk,trunk (animal limb),,
Tals,noun,TAs,tsals,ṣals,batter (cooking),kitchen,home
Talz,noun,TAz,tsalz,ṣalz,weapon,,
TaN,noun,TaN,tsang,ṣaŋ,"area, region (location)",,
Taq,verb,Taq,tsath,ṣaθ,intercept,,
Taw,noun,TC,tsauw,ṣow,crawfish,,
Tcj,verb,Tcj,tsuoch,ṣøč,promise,,
Tcn,noun,Tcn,tsuon,ṣøn,pig,,
Tcs,noun,Tcs,tsuos,ṣøs,sky (overhead),,
Tcv,noun,Tcv,tsuov,ṣøv,falcon,,
Tcz,noun,Tcz,tsuoz,ṣøz,plum (fruit),,
Tef,noun,Tef,tsehf,ṣef,cardboard,,
TelJ,noun,TEJ,tselj,ṣelj,lens,,
Telq,noun,TEq,tselth,ṣelθ,tuatara,,
Telv,noun,TEv,tselv,ṣelv,wasp,,
TelX,noun,TEX,tselzh,ṣelž,dove,,
Tem,noun,Tem,tsehm,ṣem,giant,,
Teq,noun,Teq,tsehth,ṣeθ,scooter,,
Ter,noun,TP,tsair,ṣār,juice,,
Terf,noun,TPf,tsairf,ṣārf,pouch,,
TerJ,noun,TPJ,tsairj,ṣārj,"climax, pinnacle",,
Terj,noun,TPj,tsairch,ṣārč,ocelot,,
Terx,noun,TPx,tsairsh,ṣārš,"main-ness, primary-ness",,
Tev,noun,Tev,tsehv,ṣev,card (piece of stiff material),,
Tev su suq,compound noun,Tev su suq,tsehv s'suhth,ṣev sᵘsuθ,credit card,,
Tex,noun,Tex,tsehsh,ṣeš,sodium,,
Teys,noun,TFs,tsays,ṣās,cliff,,
Tgl,noun,TG,tsohl,ṣōl,dome,,
TglD,noun,TGD,tsohldz,ṣōlẓ,urethra,,
Tglq,noun,TGq,tsohlth,ṣōlθ,ellipse,,
Tglx,noun,TGx,tsohlsh,ṣōlš,kite-shape,,
Tgrj,noun,Tbj,tsoarch,ṣōrč,woodchuck,,
Tgrq,noun,Tbq,tsoarth,ṣōrθ,awareness,,
Tgrs,noun,Tbs,tsoars,ṣōrs,wrench,,
Tgrz,noun,Tbz,tsoarz,ṣōrz,toilet,bathroom,home
Tgwm,noun,Tgm,tsohwm,ṣōm,lung,,
TgwX,noun,TgX,tsohwzh,ṣōž,carpet,,
Tgwx,noun,Tgx,tsohwsh,ṣōš,lemon (fruit),,
Tgy,noun,TB,tsoi,ṣoi,"mystery, puzzle",,
TgyD,noun,TBD,tsoidz,ṣoiẓ,quadrangle,,
TgyJ,noun,TBJ,tsoij,ṣoij,imagination,,
Tgyv,noun,TBv,tsoiv,ṣoiv,urine,,
Tgyx,noun,TBx,tsoish,ṣoiš,hip,,
Til,noun,TI,tsil,ṣil,"club, organization",,
TilD,noun,TID,tsildz,ṣilẓ,microwaves,,
TilDsr,compound noun,TIDsr,tsildz-sur,ṣilẓ-sur,microwave oven,,
Tilf,noun,TIf,tsilf,ṣilf,fungus,,
Tilk,noun,TIk,tsilk,ṣilk,"humor, wit",,
TilX,noun,TIX,tsilzh,ṣilž,"consistency, repeatability",,
Tilz,noun,TIz,tsilz,ṣilz,"plastic, synthetics",,
TiN,noun,TiN,tsihng,ṣiŋ,"bucket, pail",,
Tirs,noun,TVs,tseers,ṣērs,descendant,,
TirT,verb,TVT,tseerts,ṣērṣ,cooperate,,
Tirz,noun,TVz,tseerz,ṣērz,bruise,,
TiT,verb,TiT,tsihts,ṣiṣ,"rattle, shake",,
TolD,noun,TOD,tsalldz,ṣolẓ,native,,
Tolm,verb,TOm,tsallm,ṣolm,prefer,,
Tols,noun,TOs,tsalls,ṣols,"deity, god(dess)",,
Tolx,noun,TOx,tsallsh,ṣolš,tabby-print,,
Toq,noun,Toq,tsoth,ṣoθ,musical instrument,,
Torf,noun,TSf,tsarf,ṣarf,"council, senate",,
TorJ,noun,TSJ,tsarj,ṣarj,flower,,
Torp,noun,TSp,tsarp,ṣarp,"coating, covering",,
Tors,noun,TSs,tsars,ṣars,mirror,bathroom,
TorT,noun,TST,tsarts,ṣarṣ,penalty,,
Toyj,noun,TZj,tsiich,ṣīč,lynx,zoology,science
Toyn,verb,TZn,tsiin,ṣīn,rescue,,
Toyp,noun,TZp,tsiip,ṣīp,grocery,,
Toyx,noun,TZx,tsiish,ṣīš,"battle, fray",,
Toyz,noun,TZz,tsiiz,ṣīz,locust,,
Toz,noun,Toz,tsoz,ṣoz,grand-offspring,,
Tr,verb,Tr,tsur,ṣur,hear-about,,
Trj,verb,Trj,tsurch,ṣurč,"make-sound, sound-like",,
Trs,noun,Trs,tsurs,ṣurs,"cage, cell",,
Tu,noun suffix,Tu,tsuh,ṣu,also,noun suffix,grammar
Tuj,noun,Tuj,tsuhch,ṣuč,orange (fruit),,
Tulq,verb,TUq,tsulth,ṣulθ,share,,
Tuls,noun,TUs,tsuls,ṣuls,organ (biological),,
TulX,verb,TUX,tsulzh,ṣulž,wrestle,,
TuN,noun,TuN,tsuhng,ṣuŋ,repetition,,
TuX,verb,TuX,tsuhzh,ṣuž,burn,,
Tux,noun,Tux,tsuhsh,ṣuš,frequency,,
Tuz,noun,Tuz,tsuhz,ṣuz,"belly, gut",anatomy,science
Tw,noun,Tw,tsooh,ṣü,human,,
Twf,verb,Twf,tsoohf,ṣüf,"grill, roast",,
Twj,noun,Twj,tsoohch,ṣüč,"hose, tube",,
TwJ,noun,TwJ,tsoohj,ṣüj,Saturday,,
Twk,noun,Twk,tsoohk,ṣük,"mucus, snot",,
Twn,verb,Twn,tsoohn,ṣün,"buck, jerk",,
Twq,noun,Twq,tsoohth,ṣüθ,cannon,,
TwQ,noun,TwQ,tsoohdth,ṣüð,"locale, neighborhood, vicinity",,
TwWul,compound noun,TwWU,tsooh-wul,ṣü-wul,humanoid,,
Twx,noun,Twx,tsoohsh,ṣüš,war,,
Ty,unary suffix,Ty,tsee,ṣē,great,unary suffix,grammar
Tyk,verb,Tyk,tseek,ṣēk,"lead, precede",,
Tyn,verb,Tyn,tseen,ṣēn,disable,,
TyN,noun,TyN,tseeng,ṣēŋ,pre-semen,,
TyT,verb,TyT,tseets,ṣēṣ,discover,,
va,noun,va,va,va,cigar,,
vak,noun,vak,vak,vak,"label, name",,
valf,noun,vAf,valf,valf,aggression,,
valH,noun,vAH,valkhh,valħ,plasma,,
valm,noun,vAm,valm,valm,dip,,
valx,noun,vAx,valsh,valš,formality,,
valz,noun,vAz,valz,valz,"dart, shuriken",,
vas,noun,vas,vas,vas,cigarette,,
vawk,noun,vCk,vauwk,vowk,thirst,food,
vawQ,noun,vCQ,vauwdth,vowð,agriculture,,
vaws,noun,vCs,vauws,vows,pretzel,,
vawx,verb,vCx,vauwsh,vowš,attract,,
vax,noun,vax,vash,vaš,court,,
vaX,noun,vaX,vazh,važ,immunity,,
vc,verb,vc,vuo,vø,"attain, reach",,
vcH,noun,vcH,vuokhh,vøħ,confusion,,
vcx,verb,vcx,vuosh,vøš,"recommend, suggest",,
veH,noun,veH,vehkhh,veħ,shell,,
vek,verb,vek,vehk,vek,pluck,,
velk,noun,vEk,velk,velk,mayfly,,
veln,noun,vEn,veln,veln,pear,,
velp,noun,vEp,velp,velp,gamma rays,,
vels,noun,vEs,vels,vels,limbo,,
velz,noun,vEz,velz,velz,tobacco,,
vem,noun,vem,vehm,vem,shark,,
ven,noun,ven,vehn,ven,orientation (sexual or social),,
verT,noun,vPT,vairts,vārṣ,wall,,
verz,noun,vPz,vairz,vārz,bobcat,zoology,science
veyf,noun,vFf,vayf,vāf,September,,
veyk,noun,vFk,vayk,vāk,gargoyle,,
veyn,noun,vFn,vayn,vān,yo-yo,,
veyq,noun,vFq,vayth,vāθ,curiosity,,
veys,verb,vFs,vays,vās,shrink,,
vgl,noun,vG,vohl,vōl,infinity,,
vglD,noun,vGD,vohldz,vōlẓ,scar,,
vglJ,verb,vGJ,vohlj,vōlj,"cloak, cover, wrap",,
vglv,verb,vGv,vohlv,vōlv,"connect, match, relate",,
vgr,verb,vb,voar,vōr,"please, satisfy",,
vgrJ,noun,vbJ,voarj,vōrj,satisfaction,,
vgrm,noun,vbm,voarm,vōrm,wing,,
vgrn,noun,vbn,voarn,vōrn,dexterity,,
vgrs,noun,vbs,voars,vōrs,bagel,food,
vgwj,noun,vgj,vohwch,vōč,snack,,
vgwm,verb,vgm,vohwm,vōm,praise,,
vgwn,noun,vgn,vohwn,vōn,digital-ness,,
vgwN,noun,vgN,vohwng,vōŋ,freezer,,
vgwn kw,compound noun,vgn kw,vohwn kooh,vōn kü,binary,numerical,mathematics
vgwn Rw,compound noun,vgn Rw,vohwn rooh,vōn rü,unary,,
vgwv,noun,vgv,vohwv,vōv,eyebrow,,
vgwx,noun,vgx,vohwsh,vōš,wildcat,,
vgwz,noun,vgz,vohwz,vōz,"felt, velvet",,
vgy,noun,vB,voi,voi,stickiness,,
vgyf,verb,vBf,voif,voif,disprove,,
vgyH,noun,vBH,voikhh,voiħ,alignment,,
vgyj,noun,vBj,voich,voič,"particle, quantum",,
vgyk,noun,vBk,voik,voik,gemstone,,
vgyq,noun,vBq,voith,voiθ,boot,,
vgyx,noun,vBx,voish,voiš,calf (of leg),anatomy,science
vgyX,noun,vBX,voizh,voiž,mixture,,
vgyz,verb,vBz,voiz,voiz,color,,
vi,noun,vi,vih,vi,length,,
vif,noun,vif,vihf,vif,meter (measure of length),,
vik,noun,vik,vihk,vik,koala,,
vil,noun,vI,vil,vil,weight,,
vilf,noun,vIf,vilf,vilf,gram,,
vilp,noun,vIp,vilp,vilp,mask,,
vils,noun,vIs,vils,vils,"fertility, potency",,
vim,noun,vim,vihm,vim,"feral-ity, wildness",,
vin,noun,vin,vihn,vin,radio waves,,
vip,noun,vip,vihp,vip,segment,,
viQ,verb,viQ,vihdth,við,compel,,
vir,noun,vV,veer,vēr,museum,,
virp,verb,vVp,veerp,vērp,"ban, exile, prohibit",,
virq,noun,vVq,veerth,vērθ,professor,,
virs,verb,vVs,veers,vērs,complain,,
virT,verb,vVT,veerts,vērṣ,abandon,,
vis,verb,vis,vihs,vis,divine,,
viv,noun,viv,vihv,viv,"image, picture",,
vivsr,compound noun,vivsr,vihv-sur,viv-sur,camera (picture),,
viz,noun,viz,vihz,viz,"road, street",,
vol,noun,vO,vall,vol,sweetness,,
volq,noun,vOq,vallth,volθ,laziness,,
volv,noun,vOv,vallv,volv,charcoal,,
vors,noun,vSs,vars,vars,"junk, material, stuff",,
vorT,noun,vST,varts,varṣ,television program,,
vox,verb,vox,vosh,voš,"exit, leave",,
voy,noun,vZ,vii,vī,copyright,,
voyf,noun,vZf,viif,vīf,difficulty,,
voyH,noun,vZH,viikhh,vīħ,crime,,
voyN,noun,vZN,viing,vīŋ,"choice, decision",,
voyn,noun,vZn,viin,vīn,width,,
voyv,noun,vZv,viiv,vīv,evergreen (tree),,
vr,verb,vr,vur,vur,smell,,
vrD,noun,vrD,vurdz,vurẓ,restlessness,,
vrf,verb,vrf,vurf,vurf,doubt,,
vrj,verb,vrj,vurch,vurč,smell-like,,
vrn,noun,vrn,vurn,vurn,lemming,,
vrs,noun,vrs,vurs,vurs,mandrill,,
vu,noun prefix,vu,vuh,vu,plural,noun prefix,grammar
vuD,verb,vuD,vuhdz,vuẓ,charge-energy,,
vuDirz,compound noun,vuDVz,v'dzeerz,vᵘẓērz,spine (backbone),,
vuf,noun,vuf,vuhf,vuf,February,,
vul,noun,vU,vul,vul,number,,
vul su nuqoq,compound noun,vU su nuqoq,vul s'n'thoth,vul sᵘnᵘθoθ,"count, tally",,
vulD,noun,vUD,vuldz,vulẓ,octopus,,
vulf,noun,vUf,vulf,vulf,peacock (animal),,
vulH,noun,vUH,vulkhh,vulħ,composition,,
vulHy,compound noun,vUHy,vul-khhee,vul-ħē,few,,
vulp,noun,vUp,vulp,vulp,thyroid gland,,
vulq,noun,vUq,vulth,vulθ,overalls,,
vulTy,compound noun,vUTy,vul-tsee,vul-ṣē,many,,
vulx,noun,vUx,vulsh,vulš,latex,,
vum,noun,vum,vuhm,vum,alcohol,food,
vux,noun,vux,vuhsh,vuš,"catsup, ketchup",,
vuX,noun,vuX,vuhzh,vuž,rice,,
vw,verb,vw,vooh,vü,"contact, touch",,
vwJ,noun,vwJ,voohj,vüj,row,,
vwj,verb,vwj,voohch,vüč,texture-like,,
vwk,noun,vwk,voohk,vük,flood,,
vwT,noun,vwT,voohts,vüṣ,bat (animal),zoology,science
vwz,noun,vwz,voohz,vüz,cheetah,,
vy,verb,vy,vee,vē,think-about,,
vyD,noun,vyD,veedz,vēẓ,week,,
vyf,noun,vyf,veef,vēf,hamster,,
vyH,noun,vyH,veekhh,vēħ,"filth, garbage, trash, waste",,
vyk,noun,vyk,veek,vēk,shortcut,,
vym,verb,vym,veem,vēm,criticize,,
vyn,verb,vyn,veen,vēn,compare,,
vyN,noun,vyN,veeng,vēŋ,publication,,
vyq,noun,vyq,veeth,vēθ,authority,,
vyv,noun,vyv,veev,vēv,eyelash,,
Wa,noun,Wa,wa,wa,litter,,
WaD,verb,WaD,wadz,waẓ,loosen,,
Waf,noun,Waf,waf,waf,foreigner,,
WaH,noun,WaH,wakhh,waħ,connection,,
Waj,noun,Waj,wach,wač,"couch, sofa",,
Wak,noun,Wak,wak,wak,personality,,
Wal,noun,WA,wal,wal,consciousness,,
Walm,noun,WAm,walm,walm,"crack, slit",,
Waln,verb,WAn,waln,waln,"argue, debate",,
Walx,noun,WAx,walsh,walš,strainer,,
Walz,noun,WAz,walz,walz,"ammunition, projectile",,
Wam,noun,Wam,wam,wam,mindset,,
Wan,noun,Wan,wan,wan,gristle,,
Wawf,noun,WCf,wauwf,wowf,vertical,,
Wawk,noun,WCk,wauwk,wowk,record,,
Wawm,noun,WCm,wauwm,wowm,"dizziness, vertigo",,
Wawn,verb,WCn,wauwn,wown,throw,,
Waws,noun,WCs,wauws,wows,pentagon,,
WawX,verb,WCX,wauwzh,wowž,bless,,
Wawx,noun,WCx,wauwsh,wowš,"drill, routine (activity)",,
Wawz,noun,WCz,wauwz,wowz,spore,,
Wc,noun,Wc,wuo,wø,protégée,,
Wcf,noun,Wcf,wuof,wøf,canine,anatomy,science
Wcn,noun,Wcn,wuon,wøn,heel (of shoe),,
Wcp,noun,Wcp,wuop,wøp,permission,,
We,verb,We,weh,we,"feed (food), eat (food)",food,
WeD,noun,WeD,wehdz,weẓ,education,,
Welp,verb,WEp,welp,welp,"mold, sculpt",,
Wels,noun,WEs,wels,wels,printer,,
Welz,noun,WEz,welz,welz,poem,,
WeQ,noun,WeQ,wehdth,weð,"bush, hedge, shrub",,
Wer,verb,WP,wair,wār,move-like (style or position),,
Werk,verb,WPk,wairk,wārk,program,,
Werx,noun,WPx,wairsh,wārš,weather,,
Wes,noun,Wes,wehs,wes,ankle,anatomy,science
WeT,noun,WeT,wehts,weṣ,hormone,,
Wev,noun,Wev,wehv,wev,development,,
Wey,verb,WF,way,wā,"advertise, publicize",,
Weym,noun,WFm,waym,wām,"level, rank",,
Weyn,noun,WFn,wayn,wān,room,,
Weys,verb,WFs,ways,wās,"absorb, consume",,
WeyT,noun,WFT,wayts,wāṣ,ceratosaur,paleontology,science
Wgl,noun,WG,wohl,wōl,wolf,,
Wglf,noun,WGf,wohlf,wōlf,loyalty,,
Wglj,noun,WGj,wohlch,wōlč,forearm,,
Wgln,noun,WGn,wohln,wōln,dawn,,
Wglp,noun,WGp,wohlp,wōlp,geology,,
Wgls,noun,WGs,wohls,wōls,virtual-reality,,
WglT,noun,WGT,wohlts,wōlṣ,hydrogen,,
Wglv,noun,WGv,wohlv,wōlv,"cluster, group",,
Wglz,verb,WGz,wohlz,wōlz,offend,,
Wgr,noun,Wb,woar,wōr,"Autumn, Fall",calendar system,proper nouns
Wgw,noun,Wg,wohw,wō,symmetry,,
Wgwk,verb,Wgk,wohwk,wōk,disassemble,,
Wgwn,noun,Wgn,wohwn,wōn,network,,
Wgwp,verb,Wgp,wohwp,wōp,compromise,,
Wgwv,noun,Wgv,wohwv,wōv,color,,
Wgwz,noun,Wgz,wohwz,wōz,skunk,,
Wgy,noun,WB,woi,woi,coyote,,
Wgyk,noun,WBk,woik,woik,floor,,
Wi,conjunction,Wi,wih,wi,verb-with,preposition,grammar
WiD,noun,WiD,wihdz,wiẓ,duck,,
Wif,noun,Wif,wihf,wif,leather,,
WiH,noun,WiH,wihkhh,wiħ,grandiosity,,
Wij,verb,Wij,wihch,wič,camouflage,,
Wik,noun,Wik,wihk,wik,disgust (emotion),,
Wil,noun,WI,wil,wil,mongoose,,
Wilp,verb,WIp,wilp,wilp,stalk,,
Wir,noun,WV,weer,wēr,childishness,,
WirJ,verb,WVJ,weerj,wērj,envy,,
Wirp,noun,WVp,weerp,wērp,government,,
WirT,noun,WVT,weerts,wērṣ,"policy, procedure",,
Wis,verb,Wis,wihs,wis,"fire, lay-off (end employment)",,
Wix,noun,Wix,wihsh,wiš,coffee,,
Wo,noun,Wo,wo,wo,tail,,
Wof,noun,Wof,wof,wof,oil,,
Wok,noun,Wok,wok,wok,bamboo,biology,science
